791;17:49:46.06
606;17:49:59.72
792;17:50:32.38
782;17:50:43.83
505;17:52:04.54
587;17:52:22.46
610;17:52:27.86
761;17:52:31.38
762;17:52:32.68
538;17:52:54.53
666;17:52:55.09
656;17:53:37.94
677;17:53:43.63
787;17:54:11.46
595;17:54:26.92
524;17:55:24.72
784;17:55:26.64
691;17:55:32.75
770;17:55:32.87
676;17:55:35.10
575;17:55:38.54
674;17:55:41.53
685;17:55:52.77
773;17:56:01.12
795;17:56:06.67
510;17:56:10.84
779;17:56:11.96
546;17:56:14.34
566;17:56:19.89
655;17:56:21.79
705;17:56:50.07
567;17:56:50.20
638;17:56:57.48
564;17:57:12.01
668;17:57:12.10
679;17:57:14.64
530;17:57:21.09
548;17:57:25.30
807;17:57:40.01
585;17:57:49.80
771;17:57:56.29
786;17:57:58.28
776;17:58:07.72
540;17:58:11.12
748;17:58:12.84
672;17:58:14.10
816;17:58:20.42
516;17:58:29.48
515;17:58:31.50
536;17:58:36.24
664;17:58:40.30
671;17:58:41.21
609;17:59:15.18
553;17:59:22.41
798;17:59:26.76
693;17:59:30.77
558;17:59:39.37
749;17:59:40.68
552;17:59:41.39
754;17:59:44.26
640;17:59:46.77
531;17:59:49.70
562;18:00:02.09
506;18:00:05.16
555;18:00:08.39
757;18:00:23.58
772;18:00:46.70
766;18:00:46.77
686;18:00:56.57
527;18:00:57.84
667;18:01:02.24
808;18:01:16.90
690;18:01:30.86
561;18:01:37.58
778;18:01:47.27
605;18:01:52.27
598;18:02:05.53
599;18:02:29.93
600;18:02:30.10
521;18:02:32.02
596;18:02:36.24
532;18:02:47.77
519;18:02:48.21
794;18:03:12.23
511;18:03:17.56
586;18:03:32.49
799;18:04:11.60
649;18:06:10.30
32;18:07:34.99
512;18:11:14.41
508;18:11:14.44
633;18:12:11.78
755;18:12:27.64
785;18:12:33.15
905;18:08:10.05
925;18:08:57.13
907;18:09:05.98
906;18:09:08.12
932;18:18:48.49
926;18:08:09.85
901;18:08:56.82
938;18:08:57.71
903;18:09:05.54
934;18:09:26.62
936;18:09:54.71
909;18:09:55.00
908;18:10:16.93
919;18:10:52.18
930;18:11:37.00
921;18:11:41.66
922;18:11:41.68
920;18:11:42.12
933;18:11:57.72
914;18:12:04.64
928;18:12:26.71
916;18:13:21.51
917;18:13:21.64
904;18:14:51.55
911;18:15:04.02
913;18:15:08.01
924;18:16:47.13
927;18:16:47.33
931;18:18:08.91
912;18:18:12.23
910;18:18:12.25
923;18:18:18.77
144;19:04:13.33
166;19:04:19.67
139;19:05:09.25
150;19:05:16.88
143;19:05:33.15
184;19:06:30.42
17;19:06:46.87
188;19:07:59.80
84;19:08:32.28
165;19:08:59.52
154;19:09:05.57
41;19:09:09.27
24;19:09:21.33
153;19:09:32.96
73;19:09:55.74
187;19:10:11.99
51;19:10:13.08
91;19:10:21.53
176;19:10:33.41
25;19:10:37.21
194;19:10:48.87
44;19:11:31.74
